datetime,symbol,exchange,interval,datetime,open,high,low,close,volume,turnover,transaction,open_interest,ZigZag,ZigZag_Change,淨值比,淨值比最大值,淨值比最小值,淨值,每股盈餘,每股盈餘_TTM,每股盈餘_TTM_YoY,每股盈餘_TTM_Change,每股盈餘_YTD_YoY,本益比,本益比最大值,本益比最小值
2013-03-12,2330,twse,d,2013-03-12,102.0,103.0,101.5,102.5,30064912,0.0,6294,0,,,3.457551571469054,3.474417676695732,3.4238193610156973,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.390390390390392,15.465465465465467,15.240240240240242
2013-03-13,2330,twse,d,2013-03-13,102.5,105.0,102.0,104.5,57955306,0.0,9978,0,,,3.525015992375767,3.5418820976024454,3.4406854662423756,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.690690690690692,15.765765765765767,15.315315315315317
2013-03-14,2330,twse,d,2013-03-14,104.0,104.5,103.0,104.0,33067465,0.0,7022,0,,,3.508149887149089,3.525015992375767,3.474417676695732,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.615615615615617,15.690690690690692,15.465465465465467
2013-03-15,2330,twse,d,2013-03-15,105.0,105.0,103.0,103.0,35632988,0.0,6030,0,,,3.474417676695732,3.5418820976024454,3.474417676695732,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.465465465465467,15.765765765765767,15.465465465465467
2013-03-18,2330,twse,d,2013-03-18,102.0,102.0,100.5,100.5,44188807,0.0,11128,0,,,3.3900871505623407,3.4406854662423756,3.3900871505623407,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.090090090090092,15.315315315315317,15.090090090090092
2013-03-19,2330,twse,d,2013-03-19,101.0,101.5,99.6,100.0,50765167,0.0,11099,0,,,3.3732210453356624,3.4238193610156973,3.3597281611543193,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.015015015015017,15.240240240240242,14.954954954954955
2013-03-20,2330,twse,d,2013-03-20,99.5,99.5,98.8,98.8,64024225,0.0,13861,0,,,3.3327423927916344,3.356354940108984,3.3327423927916344,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.834834834834837,14.939939939939942,14.834834834834837
2013-03-21,2330,twse,d,2013-03-21,98.8,100.5,98.7,98.7,58467748,0.0,13448,0,,,3.3293691717462988,3.3900871505623407,3.3293691717462988,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.819819819819822,15.090090090090092,14.819819819819822
2013-03-22,2330,twse,d,2013-03-22,98.6,99.1,98.0,98.0,44937030,0.0,12072,0,,,3.305756624428949,3.342862055927641,3.305756624428949,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.714714714714717,14.87987987987988,14.714714714714717
2013-03-25,2330,twse,d,2013-03-25,99.9,100.5,99.2,99.5,25469505,0.0,7606,0,,,3.356354940108984,3.3900871505623407,3.346235276972977,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.939939939939942,15.090090090090092,14.894894894894897
2013-03-26,2330,twse,d,2013-03-26,99.2,99.4,98.8,99.0,27220058,0.0,8019,0,,,3.3394888348823057,3.3529817190636484,3.3327423927916344,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.864864864864867,14.924924924924927,14.834834834834837
2013-03-27,2330,twse,d,2013-03-27,99.0,100.5,98.8,100.5,29969023,0.0,7304,0,,,3.3900871505623407,3.3900871505623407,3.3327423927916344,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.090090090090092,15.090090090090092,14.834834834834837
2013-03-28,2330,twse,d,2013-03-28,100.0,100.5,99.3,100.0,29558310,0.0,7232,0,,,3.3732210453356624,3.3900871505623407,3.3496084980183127,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.015015015015017,15.090090090090092,14.909909909909912
2013-03-29,2330,twse,d,2013-03-29,100.0,101.0,99.8,100.5,19003253,0.0,5024,0,,,3.3900871505623407,3.406953255789019,3.366474603244991,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.090090090090092,15.165165165165167,14.984984984984987
2013-04-01,2330,twse,d,2013-04-01,101.0,102.0,100.5,101.0,16374716,0.0,4450,0,,,3.509289199104073,3.544034636718965,3.491916480296627,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.326241134751776,14.468085106382981,14.255319148936172
2013-04-02,2330,twse,d,2013-04-02,100.5,101.0,99.8,100.5,22334113,0.0,6500,0,,,3.491916480296627,3.509289199104073,3.467594673966203,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.255319148936172,14.326241134751776,14.156028368794328
2013-04-03,2330,twse,d,2013-04-03,101.5,101.5,100.0,100.5,27097381,0.0,6886,0,,,3.491916480296627,3.526661917911519,3.474543761489181,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.255319148936172,14.397163120567377,14.18439716312057
2013-04-08,2330,twse,d,2013-04-08,99.0,99.5,98.5,98.5,58367917,0.0,11496,0,,,3.4224256050668433,3.4571710426817353,3.4224256050668433,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,13.971631205673761,14.113475177304966,13.971631205673761
2013-04-09,2330,twse,d,2013-04-09,98.0,98.5,97.5,97.5,41316418,0.0,10389,0,97.5,-0.1095890410958904,3.387680167451952,3.4224256050668433,3.387680167451952,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,13.829787234042556,13.971631205673761,13.829787234042556
2013-04-10,2330,twse,d,2013-04-10,98.8,98.8,97.7,98.3,36746778,0.0,7197,0,,,3.415476517543865,3.432849236351311,3.39462925497493,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,13.94326241134752,14.014184397163122,13.858156028368796
2013-04-11,2330,twse,d,2013-04-11,99.0,101.5,98.8,101.5,57867486,0.0,12430,0,,,3.526661917911519,3.526661917911519,3.432849236351311,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.397163120567377,14.397163120567377,14.014184397163122
2013-04-12,2330,twse,d,2013-04-12,101.5,101.5,100.0,100.5,19568004,0.0,5602,0,,,3.491916480296627,3.526661917911519,3.474543761489181,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.255319148936172,14.397163120567377,14.18439716312057
2013-04-15,2330,twse,d,2013-04-15,100.5,101.0,99.1,99.4,23440616,0.0,6275,0,,,3.4536964989202463,3.509289199104073,3.4432728676357787,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.099290780141846,14.326241134751776,14.056737588652483
2013-04-16,2330,twse,d,2013-04-16,98.2,101.0,98.2,100.5,35918924,0.0,8309,0,,,3.491916480296627,3.509289199104073,3.412001973782376,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.255319148936172,14.326241134751776,13.9290780141844
2013-04-17,2330,twse,d,2013-04-17,101.5,101.5,99.7,100.0,35897101,0.0,7663,0,,,3.474543761489181,3.526661917911519,3.464120130204714,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.18439716312057,14.397163120567377,14.141843971631209
2013-04-18,2330,twse,d,2013-04-18,100.0,101.0,99.4,99.9,33083804,0.0,7209,0,,,3.4710692177276923,3.509289199104073,3.4536964989202463,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,14.17021276595745,14.326241134751776,14.099290780141846
2013-04-19,2330,twse,d,2013-04-19,105.5,106.5,105.5,106.5,66950314,0.0,15197,0,,,3.700389105985978,3.700389105985978,3.6656436683710862,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,15.106382978723406,15.106382978723406,14.9645390070922
2013-04-22,2330,twse,d,2013-04-22,108.5,109.5,107.5,108.5,72502228,0.0,16146,0,,,3.7698799812157615,3.8046254188306534,3.73513454360087,28.780757090577048,2.0,7.049999999999999,,0.05855855855855863,0.2172413793103447,15.390070921985817,15.531914893617024,15.248226950354612
